Wavelength,Flux,BestFit,SkyFlux
4239.357,31.877,35.634,5.427
4240.333,33.282,35.599,5.468
4241.310,31.578,36.078,5.991
4242.287,30.282,36.693,6.113
4243.263,32.944,37.882,6.101
4244.241,32.089,38.515,6.324
4245.218,32.715,37.496,6.510
4246.196,32.434,37.522,7.001
4247.173,32.954,37.120,7.818
4248.152,33.846,36.017,8.341
4249.130,33.031,34.301,8.034
4250.108,31.845,32.094,7.222
4251.087,29.895,30.663,6.751
4252.066,28.627,32.783,6.383
4253.045,30.849,35.218,6.140
4254.025,33.180,38.431,6.739
4255.004,31.670,39.163,7.009
4255.984,30.766,38.255,6.972
4256.964,31.603,38.364,7.002
4257.945,29.744,34.639,7.143
4258.925,30.848,33.764,7.097
4259.906,35.098,35.364,6.557
4260.887,34.956,36.904,5.795
4261.868,30.880,36.189,5.628
4262.849,29.116,33.125,5.928
4263.831,28.539,31.631,5.451
4264.813,31.109,35.708,5.385
4265.795,31.952,36.632,6.628
4266.778,30.985,35.959,7.054
4267.760,30.591,36.333,6.597
4268.743,33.866,36.450,6.192
4269.726,35.286,35.314,6.202
4270.709,31.976,33.807,6.405
4271.693,30.931,34.346,6.422
4272.676,32.614,34.517,6.179
4273.660,31.755,33.688,5.659
4274.644,32.572,34.145,5.135
4275.629,36.084,35.444,5.408
4276.613,30.123,34.753,6.358
4277.598,32.508,34.122,7.081
4278.583,32.409,33.294,6.670
4279.569,30.200,33.010,6.474
4280.554,30.676,34.314,6.852
4281.540,31.611,34.434,6.468
4282.526,31.286,36.279,5.850
4283.512,34.093,35.528,6.183
4284.499,34.432,32.172,6.821
4285.485,32.338,30.776,6.685
4286.472,32.730,33.586,5.921
4287.459,32.228,33.538,5.327
4288.447,33.535,35.044,5.032
4289.434,34.132,36.455,4.622
4290.422,33.444,36.117,4.330
4291.410,32.751,35.201,5.023
4292.398,30.800,35.520,5.687
4293.387,28.213,35.086,5.712
4294.375,32.425,33.564,5.639
4295.364,33.022,31.377,5.728
4296.353,32.430,30.706,5.843
4297.343,30.914,31.222,5.829
4298.332,29.055,31.242,5.599
4299.322,30.792,32.826,5.213
4300.312,31.784,34.292,4.935
4301.303,31.925,35.753,4.848
4302.293,29.768,36.538,4.768
4303.284,32.807,36.633,4.774
4304.275,32.484,36.227,4.964
4305.266,29.535,33.785,5.125
4306.258,28.345,31.077,5.217
4307.249,31.153,33.314,5.327
4308.241,30.443,35.336,5.329
4309.233,32.109,34.123,5.177
4310.226,32.067,33.549,5.081
4311.218,29.332,36.131,5.162
4312.211,33.616,34.160,5.319
4313.204,36.426,32.397,5.803
4314.197,31.912,31.798,6.586
4315.191,32.612,31.015,6.962
4316.184,33.141,30.568,6.767
4317.178,31.395,33.459,6.437
4318.173,30.605,35.199,6.656
4319.167,33.204,34.680,7.220
4320.162,33.861,33.313,7.493
4321.157,32.912,32.311,7.694
4322.152,33.237,31.426,7.715
4323.147,30.627,29.677,6.910
4324.143,28.851,29.392,5.637
4325.138,30.222,28.600,5.135
4326.134,28.418,27.678,5.782
4327.131,33.054,28.642,6.630
4328.127,30.253,31.356,6.444
4329.124,26.987,31.014,6.146
4330.121,28.262,30.924,6.549
4331.118,31.941,31.252,6.872
4332.115,31.749,30.296,6.604
4333.113,29.711,28.688,6.120
4334.111,31.816,28.772,6.028
4335.109,30.602,29.667,6.441
4336.107,28.823,29.371,6.752
4337.106,30.644,32.020,6.327
4338.104,32.381,31.617,5.510
4339.103,32.476,28.671,5.413
4340.103,30.540,29.926,6.065
4341.102,33.261,30.121,6.082
4342.102,30.031,29.455,5.820
4343.102,29.597,30.554,6.124
4344.102,30.133,31.776,6.391
4345.102,30.059,31.708,6.630
4346.103,29.443,30.823,6.976
4347.104,29.487,29.319,7.358
4348.105,32.306,29.366,7.830
4349.106,31.291,28.817,8.219
4350.108,27.073,26.566,7.940
4351.109,28.178,25.004,7.065
4352.111,32.254,26.803,6.356
4353.114,30.894,28.422,6.570
4354.116,29.605,27.705,6.966
4355.119,32.702,26.633,6.818
4356.122,31.550,24.404,7.238
4357.125,28.961,22.365,10.436
4358.128,27.639,22.345,21.371
4359.132,29.073,19.829,32.745
4360.136,30.216,20.204,33.358
4361.140,28.721,19.014,24.550
4362.144,25.655,16.240,15.224
4363.149,44.997,25.363,10.081
4364.153,131.238,58.375,8.106
4365.158,259.186,92.540,7.434
4366.164,289.765,96.626,7.075
4367.169,166.689,66.038,7.074
4368.175,56.286,32.275,6.709
4369.181,30.597,17.648,5.922
4370.187,25.415,17.987,6.531
4371.193,29.721,19.468,6.666
