objid,ra,dec,u,g,r,i,z
1237646647296852571,70.56858643,0.151512769,21.62618,20.46881,20.28312,20.20345,20.1109
1237646647296983541,70.79207605,0.159274034,20.22397,20.22379,19.98954,19.88862,19.90019
1237646647297179952,71.28339272,0.181052493,20.7107,20.10047,19.98748,19.89746,19.85625
1237646647297311053,71.57258568,0.050564089,20.52173,20.08797,19.8565,19.74592,19.55219
1237646647297507625,72.04265134,0.140400954,20.19001,19.91645,19.73376,19.37906,19.24591
1237646647297638946,72.32533515,0.153618589,20.49861,20.39675,20.23095,20.32551,20.07286
1237646647297638960,72.3600724,0.204907626,20.46758,20.18349,20.11235,19.97569,19.54222
1237646647297769992,72.59366018,0.080838795,21.21951,20.34284,20.35699,20.26135,20.08568
1237646647297835519,72.84754359,0.046347461,20.7552,19.96198,19.79996,19.74396,19.64696
1237646647297966422,73.04501236,0.146316434,20.06502,19.96866,19.92493,19.85066,19.84587
1237646647297966455,73.08752058,0.145132035,20.20654,20.01353,19.851,19.74612,19.58328
1237646647297966563,73.15760433,0.026826505,21.00673,20.29345,20.18526,20.18488,20.00041
1237646647302619644,83.66626703,0.125603173,20.6823,20.25376,20.2654,20.3899,20.25154
1237646647833985378,71.17379489,0.491135048,20.53983,19.89582,19.92783,19.87267,19.59102
1237646647834247644,71.7793198,0.486592134,20.62099,20.07384,19.79428,19.5144,19.57271
1237646647834509862,72.30181294,0.598938892,20.63296,20.40141,20.09385,20.09989,20.18859
1237646647834640877,72.71107659,0.597619837,20.2732,19.65143,19.62075,19.39332,19.38599
1237646647834771973,72.91257105,0.444339484,20.46752,20.34002,20.15123,20.19175,19.886
1237646648370725226,70.8601256,0.877337917,20.48617,20.12948,20.04053,19.82092,19.79453
1237646648371118330,71.76239956,0.908963974,19.98348,19.66418,19.4196,19.14635,18.87043
1237646648371380501,72.30454016,0.97253543,20.08957,19.66203,19.53219,19.65675,19.63704
1237646648371380554,72.33903572,0.968301234,21.39343,20.27684,19.86908,19.69077,19.44116
1237646648371511645,72.60049575,1.024048332,20.33644,20.00904,19.69536,19.48167,19.084
1237646705817616616,99.71077754,-1.015281961,18.37116,15.96463,14.75881,14.17403,13.77493
1237646706891424817,99.8426451,-0.196525603,24.73959,23.51032,21.80702,20.87293,20.24752
1237646748744024100,71.21317184,-1.064392856,20.64211,20.19743,19.96898,19.59712,19.4423
1237646748744090122,71.4440142,-1.058628373,20.13515,20.16552,20.11875,19.79355,19.93937
1237646748744614397,72.65431697,-1.130225658,20.54346,20.34628,20.36097,20.15252,19.9028
1237646749824058397,85.68386949,-0.122870544,21.48311,20.98101,20.82583,20.1298,20.1241
1237646749824058571,85.60768208,-0.207588251,22.48438,21.51892,20.84882,20.38941,20.19735
1237646750361649741,87.25233821,0.215856406,24.52604,21.57327,20.35865,19.76128,19.23137
1237646791699271633,100.3745152,-0.738091429,24.18331,21.70477,20.37048,19.62104,19.17475
1237646791699729443,101.3624572,-0.849582248,23.51613,23.29276,22.34539,20.87458,20.00155
1237646791699795243,101.5626504,-0.855922857,23.97918,21.7773,20.41408,19.74097,19.16325
1237646792236340137,100.8180904,-0.300312926,24.00364,23.60663,21.98812,21.35102,20.90318
1237646792236404803,100.9741442,-0.312726674,24.51522,24.4732,22.65848,22.46057,21.22226
1237646792236470944,101.1464281,-0.328432899,24.20206,23.99854,22.78052,21.10491,20.43587
1237646792772883200,100.041769,0.034511479,25.32849,25.37418,23.30854,21.7143,20.6042
1237646792773600822,101.7791994,0.059115241,25.31909,23.76224,21.98586,20.90389,20.44736
1237646793310601676,101.9659794,0.473721324,23.97968,22.23482,21.09725,20.17123,19.85413
1237646793846821306,100.5522579,0.966242479,25.42839,25.09472,24.74264,21.8943,21.71343
1237646794374644204,79.8216655,1.419716572,20.11084,19.87797,19.61272,19.29887,19.12656
1237646794374710049,79.95277674,1.427769809,22.01306,19.93033,18.38652,17.79176,17.42549
1237646794374775408,80.1599072,1.327987049,20.10543,20.02353,19.63803,19.60681,19.57396
1237646794374840746,80.25678122,1.405786794,20.28881,20.10826,19.9202,19.55948,19.31276
1237646794374906671,80.50055877,1.336501177,22.42884,20.39194,19.13476,18.57288,18.10431
1237646794375234203,81.2383816,1.374952491,19.62923,19.30094,19.23353,18.98249,18.93544
1237646794375234291,81.27630753,1.397629179,19.94139,19.58704,19.3258,19.3661,19.21558
1237646794375299620,81.29798802,1.328449359,20.17056,19.62248,19.59055,19.37897,19.47573
1237646794375365787,81.45143918,1.422206101,23.29203,21.02421,20.38945,20.08772,19.95801
1237646794375430893,81.65141301,1.391964452,20.80596,20.18994,19.95022,19.88913,19.78929
1237646794377528233,86.48937399,1.389278487,20.15355,19.26123,18.31971,17.71413,17.3328
1237646794380739324,93.83046109,1.42523638,24.46015,25.34843,25.45283,23.44304,20.71287
1237646794380741742,93.7770736,1.31445558,25.01602,25.23567,23.19552,21.95095,22.47086
1237646796526520097,120.2942079,-0.381635853,22.42743,21.6854,21.51583,21.6562,20.78537
1237646796527042670,121.4036017,-0.29765577,25.77608,21.4927,19.91597,19.12634,18.61108
1237646797063390609,120.2096585,0.090402173,22.58326,21.67546,21.62986,21.64804,20.97955
1237646797063520669,120.5891406,0.123992603,19.72309,19.10478,19.16483,19.10807,18.85528
1237646797063652442,120.8053447,0.154167376,21.72872,21.11086,21.23012,21.00773,20.62982
1237646797063717751,121.0135725,0.167478793,20.19012,19.60582,19.51657,19.34263,19.16291
