Wavelength,Flux,BestFit,SkyFlux
4002.211,3.780,2.809,3.044
4003.133,2.538,2.823,3.079
4004.055,2.860,2.835,3.052
4004.977,3.869,2.821,2.951
4005.899,4.434,2.835,2.908
4006.822,4.281,2.886,2.960
4007.744,2.006,2.864,3.114
4008.667,3.249,2.851,3.139
4009.590,3.221,2.834,3.250
4010.514,2.231,2.823,3.628
4011.437,2.081,2.819,3.905
4012.361,2.729,2.809,3.805
4013.285,2.888,2.792,3.765
4014.209,3.199,2.786,3.780
4015.134,1.323,2.821,3.656
4016.058,2.036,2.836,3.468
4016.983,3.970,2.848,3.362
4017.908,2.384,2.865,3.283
4018.833,3.059,2.804,3.580
4019.759,2.880,2.751,3.490
4020.685,2.431,2.725,4.063
4021.610,3.114,2.740,4.197
4022.537,3.383,2.787,4.095
4023.463,2.178,2.785,4.085
4024.389,3.957,2.656,3.992
4025.316,2.647,2.671,3.828
4026.243,2.846,2.755,3.916
4027.170,2.925,2.806,3.393
4028.098,2.683,2.792,3.556
4029.025,3.403,2.756,3.618
4029.953,1.471,2.763,3.633
4030.881,2.254,2.782,3.408
4031.809,2.843,2.756,3.191
4032.738,2.715,2.729,3.160
4033.667,2.555,2.729,3.145
4034.596,2.422,2.711,3.128
4035.525,1.970,2.635,3.057
4036.454,2.449,2.695,3.050
4037.383,3.338,2.758,3.207
4038.313,2.810,2.759,3.567
4039.243,1.926,2.759,3.661
4040.173,2.865,2.784,3.463
4041.104,3.230,2.745,3.270
4042.034,2.020,2.773,3.538
4042.965,2.230,2.774,4.247
4043.896,2.431,2.765,4.265
4044.827,2.397,2.773,4.290
4045.759,3.123,2.779,5.294
4046.691,2.166,2.749,7.543
4047.622,1.437,2.744,9.212
4048.555,1.693,2.760,9.163
4049.487,2.495,2.749,7.484
4050.419,3.354,2.756,5.484
4051.352,3.747,2.801,4.776
4052.285,3.035,2.767,4.113
4053.218,3.481,2.712,3.756
4054.152,2.857,2.739,3.771
4055.085,1.983,2.757,3.799
4056.019,2.423,2.732,3.842
4056.953,3.493,2.710,3.669
4057.887,2.241,2.709,3.389
4058.822,2.403,2.697,3.372
4059.757,3.176,2.696,3.498
4060.692,2.388,2.723,3.547
4061.627,2.062,2.731,3.673
4062.562,4.060,2.700,3.573
4063.498,2.190,2.715,3.613
4064.433,1.470,2.721,3.586
4065.369,2.426,2.696,3.848
4066.305,3.159,2.674,4.163
4067.242,3.089,2.688,3.964
4068.178,2.772,2.706,4.117
4069.115,1.863,2.662,3.882
4070.052,2.905,2.710,4.057
4070.990,3.444,2.693,3.875
4071.927,2.976,2.661,3.704
4072.865,1.745,2.666,3.473
4073.803,0.678,2.689,3.328
4074.741,1.879,2.683,3.393
4075.679,1.456,2.690,3.469
4076.618,2.780,2.675,3.703
4077.557,3.778,2.705,4.201
4078.496,3.462,2.738,4.376
4079.435,3.259,2.703,4.083
4080.374,2.237,2.673,4.036
4081.314,1.761,2.688,3.960
4082.254,1.771,2.682,4.006
4083.194,2.247,2.681,4.016
4084.134,2.734,2.678,3.843
4085.075,3.080,2.647,3.601
4086.015,4.182,2.629,3.505
4086.956,2.386,2.673,3.869
4087.898,3.133,2.658,3.724
4088.839,3.179,2.629,3.871
4089.781,2.302,2.654,3.537
4090.722,3.639,2.707,3.338
4091.664,3.219,2.679,3.275
4092.607,3.395,2.647,3.314
4093.549,3.480,2.654,3.398
4094.492,2.911,2.677,3.354
4095.435,2.613,2.680,3.112
4096.378,3.373,2.672,3.057
4097.321,3.378,2.696,2.793
4098.265,3.500,2.674,2.776
4099.208,2.991,2.659,2.851
4100.152,2.333,2.662,2.796
4101.097,1.997,2.677,2.821
4102.041,1.881,2.689,2.785
4102.986,1.968,2.691,2.554
4103.931,2.398,2.738,2.649
4104.876,3.055,2.678,2.557
4105.821,2.772,2.638,2.794
4106.766,2.227,2.688,2.783
4107.712,2.769,2.730,2.965
4108.658,2.808,2.644,3.096
4109.604,4.103,2.646,3.013
4110.551,2.968,2.644,3.052
4111.497,2.530,2.666,3.151
4112.444,2.916,2.676,3.106
4113.391,1.834,2.629,2.995
4114.338,3.289,2.607,2.924
4115.286,1.138,2.658,3.078
4116.233,2.359,2.649,3.354
4117.181,3.169,2.621,3.341
4118.130,2.011,2.623,3.147
4119.078,2.213,2.643,3.063
